cenario,sessao,porta,veiculo,chegada,saida,soc_inicial_pct,soc_alvo_pct,soc_final_pct,meta_atingida,inicio_carga,fim_carga,kwh_solar,kwh_bateria,kwh_rede,kwh_total,renovavel_pct,faturamento_rs,custo_rede_rs,margem_rs
baseline,1,1,Hatch compacto 40 kWh,08:00,16:00,20,90,90.0,sim,08:00,12:10,30.36,0.0,0.08,30.43,99.7,66.95,0.07,66.88
baseline,2,2,SUV eletrico 60 kWh,09:30,13:30,30,65,65.0,sim,09:30,12:40,22.74,0.0,0.08,22.82,99.7,50.21,0.07,50.14
baseline,3,3,Sedan eletrico 50 kWh,11:00,15:00,25,70,70.0,sim,11:00,14:20,21.73,0.0,2.73,24.46,88.8,53.8,2.59,51.21
baseline,4,2,Hatch compacto 40 kWh,14:00,18:30,35,90,90.0,sim,14:00,17:15,19.46,0.0,4.45,23.91,81.4,52.61,4.23,48.38
baseline,5,1,Sedan eletrico 50 kWh,17:00,22:00,20,70,70.0,sim,17:00,20:45,1.43,0.0,25.75,27.17,5.2,59.78,24.46,35.32
baseline,6,3,Utilitario 35 kWh,18:30,23:00,15,65,65.0,sim,18:30,21:05,0.0,0.0,19.02,19.02,0.0,41.85,18.07,23.78
proposta,1,1,Hatch compacto 40 kWh,08:00,16:00,20,90,90.0,sim,08:00,12:40,30.37,0.0,0.06,30.43,99.8,66.95,0.06,66.9
proposta,2,2,SUV eletrico 60 kWh,09:30,13:30,30,65,65.0,sim,09:30,12:40,22.73,0.0,0.09,22.82,99.6,50.21,0.09,50.12
proposta,3,3,Sedan eletrico 50 kWh,11:00,15:00,25,70,70.0,sim,11:00,14:20,24.36,0.0,0.09,24.46,99.6,53.8,0.09,53.71
proposta,4,2,Hatch compacto 40 kWh,14:00,18:30,35,90,90.0,sim,14:00,18:05,19.46,1.1,3.35,23.91,86.0,52.61,3.18,49.43
proposta,5,1,Sedan eletrico 50 kWh,17:00,22:00,20,70,70.0,sim,17:00,22:00,1.43,10.68,15.07,27.17,44.6,59.78,14.31,45.47
proposta,6,3,Utilitario 35 kWh,18:30,23:00,15,65,65.0,sim,18:30,23:00,0.0,1.52,17.51,19.02,8.0,41.85,16.63,25.22
