hora,hora_dec,pv_real_kw,pv_previsto_kw,ev_kw,solar_para_ev_kw,bateria_para_ev_kw,rede_para_ev_kw,carga_bateria_kw,bateria_soc,excedente_solar_kw,veiculos_conectados
00:00,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
00:05,0.0833,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
00:10,0.1667,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
00:15,0.25,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
00:20,0.3333,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
00:25,0.4167,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
00:30,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
00:35,0.5833,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
00:40,0.6667,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
00:45,0.75,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
00:50,0.8333,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
00:55,0.9167,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
01:00,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
01:05,1.0833,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
01:10,1.1667,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
01:15,1.25,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
01:20,1.3333,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
01:25,1.4167,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
01:30,1.5,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
01:35,1.5833,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
01:40,1.6667,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
01:45,1.75,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
01:50,1.8333,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
01:55,1.9167,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
02:00,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
02:05,2.0833,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
02:10,2.1667,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
02:15,2.25,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
02:20,2.3333,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
02:25,2.4167,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
02:30,2.5,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
02:35,2.5833,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0
