hora,hora_dec,pv_real_kw,pv_previsto_kw,ev_kw,solar_para_ev_kw,bateria_para_ev_kw,rede_para_ev_kw,carga_bateria_kw,bateria_soc,excedente_solar_kw,veiculos_conectados
00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
00:05,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
00:10,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
00:15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
00:20,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
00:25,0.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
00:30,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
00:35,0.5833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
00:40,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
00:45,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
00:50,0.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
00:55,0.9167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
01:05,1.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
01:10,1.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
01:15,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
01:20,1.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
01:25,1.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
01:30,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
01:35,1.5833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
01:40,1.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
01:45,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
01:50,1.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
01:55,1.9167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
02:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
02:05,2.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
02:10,2.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
02:15,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
02:20,2.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
02:25,2.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
02:30,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
02:35,2.5833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
02:40,2.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
02:45,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
02:50,2.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
02:55,2.9167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
03:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
03:05,3.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
03:10,3.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
03:15,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
03:20,3.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
03:25,3.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
03:30,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
03:35,3.5833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
03:40,3.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
03:45,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
03:50,3.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
03:55,3.9167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
04:00,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
04:05,4.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
04:10,4.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
04:15,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
04:20,4.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
04:25,4.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
04:30,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
04:35,4.5833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
04:40,4.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
04:45,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
04:50,4.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
04:55,4.9167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
05:00,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
05:05,5.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
05:10,5.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
05:15,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
05:20,5.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
05:25,5.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
05:30,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
05:35,5.5833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
05:40,5.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
05:45,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
05:50,5.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
05:55,5.9167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
06:00,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0
06:05,6.0833,0.129,0.122,0.0,0.0,0.0,0.0,0.129,0.2005,0.0,0
06:10,6.1667,0.312,0.301,0.0,0.0,0.0,0.0,0.312,0.2017,0.0,0
06:15,6.25,0.525,0.509,0.0,0.0,0.0,0.0,0.52,0.2038,0.005,0
06:20,6.3333,0.741,0.74,0.0,0.0,0.0,0.0,0.726,0.2067,0.015,0
06:25,6.4167,1.006,0.988,0.0,0.0,0.0,0.0,1.006,0.2107,0.0,0
06:30,6.5,1.265,1.25,0.0,0.0,0.0,0.0,1.265,0.2157,0.0,0
06:35,6.5833,1.504,1.526,0.0,0.0,0.0,0.0,1.504,0.2216,0.0,0
06:40,6.6667,1.811,1.812,0.0,0.0,0.0,0.0,1.774,0.2286,0.037,0
06:45,6.75,2.067,2.109,0.0,0.0,0.0,0.0,2.057,0.2368,0.01,0
06:50,6.8333,2.433,2.413,0.0,0.0,0.0,0.0,2.425,0.2464,0.008,0
06:55,6.9167,2.788,2.726,0.0,0.0,0.0,0.0,2.779,0.2574,0.009,0
07:00,7.0,3.16,3.045,0.0,0.0,0.0,0.0,3.146,0.2698,0.014,0
07:05,7.0833,3.658,3.37,0.0,0.0,0.0,0.0,3.639,0.2842,0.019,0
07:10,7.1667,3.934,3.7,0.0,0.0,0.0,0.0,3.884,0.2996,0.05,0
07:15,7.25,4.361,4.036,0.0,0.0,0.0,0.0,4.113,0.3159,0.248,0
07:20,7.3333,4.715,4.375,0.0,0.0,0.0,0.0,4.715,0.3346,0.0,0
07:25,7.4167,4.981,4.717,0.0,0.0,0.0,0.0,4.981,0.3543,0.0,0
07:30,7.5,5.245,5.063,0.0,0.0,0.0,0.0,5.245,0.375,0.0,0
07:35,7.5833,5.453,5.41,0.0,0.0,0.0,0.0,5.349,0.3962,0.104,0
07:40,7.6667,5.828,5.76,0.0,0.0,0.0,0.0,5.828,0.4193,0.0,0
07:45,7.75,6.287,6.111,0.0,0.0,0.0,0.0,6.287,0.4442,0.0,0
07:50,7.8333,6.665,6.463,0.0,0.0,0.0,0.0,6.665,0.4705,0.0,0
07:55,7.9167,7.491,6.815,0.0,0.0,0.0,0.0,7.319,0.4995,0.172,0
08:00,8.0,8.281,7.167,7.4,7.4,0.0,0.0,0.824,0.5028,0.057,1
08:05,8.0833,9.059,7.519,7.4,7.4,0.0,0.0,1.544,0.5089,0.115,1
08:10,8.1667,9.754,7.87,7.4,7.4,0.0,0.0,2.354,0.5182,0.0,1
08:15,8.25,9.995,8.219,7.4,7.4,0.0,0.0,2.595,0.5285,0.0,1
08:20,8.3333,10.68,8.567,7.4,7.4,0.0,0.0,3.28,0.5415,0.0,1
08:25,8.4167,11.183,8.913,7.4,7.4,0.0,0.0,3.783,0.5564,0.0,1
08:30,8.5,11.054,9.257,7.4,7.4,0.0,0.0,3.654,0.5709,0.0,1
08:35,8.5833,11.545,9.597,7.4,7.4,0.0,0.0,4.138,0.5873,0.007,1
08:40,8.6667,11.593,9.935,7.4,7.4,0.0,0.0,4.193,0.6039,0.0,1
08:45,8.75,12.323,10.269,7.4,7.4,0.0,0.0,4.665,0.6223,0.258,1
08:50,8.8333,12.745,10.599,7.4,7.4,0.0,0.0,5.345,0.6435,0.0,1
08:55,8.9167,13.495,10.925,7.4,7.4,0.0,0.0,5.804,0.6665,0.291,1
09:00,9.0,13.969,11.246,7.4,7.4,0.0,0.0,6.569,0.6925,0.0,1
09:05,9.0833,13.883,11.563,7.4,7.4,0.0,0.0,6.483,0.7181,0.0,1
09:10,9.1667,15.023,11.874,7.4,7.4,0.0,0.0,7.524,0.7479,0.099,1
09:15,9.25,15.098,12.18,7.4,7.4,0.0,0.0,7.644,0.7782,0.054,1
09:20,9.3333,15.261,12.48,7.4,7.4,0.0,0.0,7.635,0.8084,0.226,1
09:25,9.4167,15.845,12.774,7.4,7.4,0.0,0.0,8.353,0.8415,0.092,1
09:30,9.5,16.88,13.061,14.8,14.8,0.0,0.0,2.08,0.8497,0.0,2
09:35,9.5833,17.088,13.342,14.8,14.8,0.0,0.0,2.167,0.8583,0.121,2
09:40,9.6667,17.619,13.616,14.8,14.8,0.0,0.0,2.819,0.8694,0.0,2
